name;watchers;forks;tweets;size;url
promiscuous;5;3;1;0.4;https://github.com/RubenVerborgh/promiscuous
keydrown;99;3;3;1;https://github.com/jeremyckahn/keydrown
JSDeferred;256;26;45;2;http://cho45.stfuawsc.com/jsdeferred/
pubsub.js;43;5;7;0.5;https://github.com/federico-lox/pubsub.js
ES5-Shim;1,697;197;161;4;https://github.com/kriskowal/es5-shim/
ES6-Map-Shim;6;0;10;0.8;https://github.com/eriwen/es6-map-shim
Lambda.js;26;1;2;0.6;https://github.com/fschaefer/Lambda.js
Dijon;26;2;9;1;https://github.com/creynders/dijon-framework
Date-Utils;177;29;26;3.1;https://github.com/JerrySievert/node-date-utils
cssFx;230;36;3;2.6;http://imsky.github.io/cssFx/
Choona.js;5;1;1;1.2;https://github.com/nsisodiya/choona.js
Histogram;18;7;6;0.6;https://github.com/Munter/node-histogram
Router.js;10;2;2;0.4;https://github.com/dperrymorrow/router.js
marked;1,917;226;100;4.3;https://github.com/chjj/marked
Reqwest;351;77;12;3.1;https://github.com/ded/Reqwest
Pjs;87;9;19;0.3;https://github.com/jayferd/pjs
Milk;171;7;5;2;https://github.com/pvande/Milk
Relay;4;0;0;1;https://github.com/relay/relay
molt;33;5;8;0.5;https://github.com/pyrsmk/molt
Objs;49;5;2;0.5;https://github.com/tekool/objs
Happen;53;7;6;0.8;https://github.com/tmcw/happen
Weld;565;20;0;2.1;http://github.com/tmpvar/weld
JSFace;102;13;4;0.8;https://github.com/tnhu/jsface
time.js;14;0;0;0.9;http://github.com/zever/time/
Simplify.js;348;21;34;0.5;http://mourner.github.io/simplify-js/
micro-selector;38;2;2;0.7;https://github.com/fabiomcosta/micro-selector
shorttag.js;8;0;0;0.4;https://github.com/jeromeetienne/shorttag.js
hsi.js;4;1;3;0.5;https://github.com/e-/hsi.js
zest;124;13;3;3.5;https://github.com/chjj/zest
Kizzy;144;14;6;0.9;https://github.com/ded/Kizzy
Bonzo;376;49;34;4.4;https://github.com/ded/bonzo
Klass;423;50;15;0.5;https://github.com/ded/klass
Qwery;724;65;75;2.6;https://github.com/ded/qwery
doT.js;1,006;183;40;1.4;https://github.com/olado/doT
LocalDB.js;13;0;0;1.9;http://agnostic.github.io/LocalDB.js
Unlimit;13;0;0;0.4;http://limeblack.github.io/UnlimitJS/
attach.js;1;0;5;0.3;http://nicbell.github.io/attach.js/
Hammer.js;4,817;654;179;3.7;http://eightmedia.github.io/hammer.js/
Humane JS;1,454;111;1;1.5;http://wavded.github.io/humane-js/
thumbs.js;202;26;1;0.3;http://mwbrooks.github.io/thumbs.js/
Platform.js;245;12;20;4.5;https://github.com/bestiejs/platform.js
Augment.js;320;20;34;1.4;http://augmentjs.com
scaleApp.js;108;13;25;2.9;http://scaleapp.org/
Riloadr;603;26;314;3.2;https://github.com/tubalmartin/riloadr
guggenheim.js;67;11;15;3.4;https://github.com/OiNutter/guggenheim.js
snack.js;185;17;48;3.1;http://snackjs.com/
string.js;437;45;186;4.3;http://stringjs.com
vivi.js;7;1;1;2.4;https://github.com/musictheory/vivi.js
smoothScroll.js;73;10;20;0.5;https://github.com/alicelieutier/smoothScroll
Mustache;5,243;975;56;2;http://mustache.github.io/
Classy;224;30;47;0.7;http://classy.pocoo.org/
Lemonad;212;8;0;1.6;http://functionaljs.org/
Underscore;0;0;1,028;4.6;http://underscorejs.org/
preloadimages.js;11;3;0;0.2;https://github.com/bahamas10/preloadimages.js
HEX/RGB;16;4;0;0.1;https://github.com/daniellmb/HEX-RGB-Conversion
CSSClass;35;6;1;0.3;https://github.com/EarMaster/CSSClass
switcher;5;2;1;0.3;https://github.com/EarMaster/switcher
lostorage.js;173;17;16;1;https://github.com/js-coder/lostorage.js
Viper;25;2;1;1.4;https://github.com/alpha123/Viper
LogJS;3;1;0;0.6;https://github.com/bfattori/LogJS
functools;82;6;18;1.1;https://github.com/azer/functools
ki.js;33;6;14;0.3;https://github.com/dciccale/ki.js
parsy;10;0;6;0.3;https://github.com/dciccale/parsy
Sly;100;13;0;3.6;https://github.com/digitarald/sly
SpeculOOs;7;2;3;0.3;https://github.com/k33g/speculoos
my.common.js;16;0;1;0.6;https://github.com/jiem/my-common
Events.js;105;5;24;4.2;https://github.com/kbjr/Events.js
Émile;511;55;19;0.9;https://github.com/madrobby/emile
Mibbu;174;12;27;2.4;https://github.com/michalbe/mibbu
Fermata;191;15;4;2.7;https://github.com/natevw/fermata
MissMatch;31;2;2;2.2;https://github.com/pb82/MissMatch
ClassIE;14;3;1;0.2;https://github.com/pyrsmk/ClassIE
H5F.js;464;60;43;2;https://github.com/ryanseddon/H5F
kebab.js;9;3;1;0.2;https://github.com/thlorenz/kebab
spin.js;5,045;440;69;2.1;http://fgnass.github.io/spin.js/
Rainbow;1,826;150;626;1.5;http://craig.is/making/rainbows
Tweet-Templ;0;0;111;0.1;http://mir.aculo.us/2011/03/09/little-helpers-a-tweet-sized-javascript-templating-engine/
swipe;2,724;743;106;1.9;https://github.com/bradbirdsall/Swipe
xxspubsub.js;6;1;4;0.2;https://github.com/dciccale/xxspubsub
typogr.js;49;6;4;1.8;https://github.com/ekalinin/typogr.js
Ekho;0;0;0;0.9;https://bitbucket.org/killdream/ekho
JSON.minify;96;26;3;0.4;http://github.com/getify/JSON.minify
Timer.js;112;14;14;0.8;https://github.com/fschaefer/Timer.js
salt.js;35;4;4;0.1;https://github.com/james2doyle/saltjs
Shifty;232;21;20;2.8;https://github.com/jeremyckahn/shifty
Blueshell;1;0;2;0.7;https://github.com/jgnewman/blueshell
isMobile;23;8;1;0.5;https://github.com/kaimallea/isMobile
cookie.js;343;48;44;0.9;https://github.com/js-coder/cookie.js
Keymaster;3,506;204;625;1.5;https://github.com/madrobby/keymaster
notificon.js;938;34;253;0.9;https://github.com/makeable/Notificon
whenever.js;261;6;177;0.7;https://github.com/paulca/whenever.js
ready.js;17;2;7;0.9;https://github.com/thanpolas/ready.js
Hexy.js;1;0;0;0.7;http://github.com/steelsojka/Hexy.js
Modernizr;0;0;2,956;4.3;http://www.modernizr.com/
FormfactorJS;145;11;0;1.4;http://formfactorjs.com
Supplement.js;60;8;13;1.3;http://supplementjs.com
JsDefer;112;10;2;2.4;https://github.com/BorisMoore/jsdefer/
ajax;27;6;2;2;https://github.com/ForbesLindesay/ajax
enquire.js;1,146;104;32;0.8;https://github.com/WickyNilliams/enquire.js
TemporizedSlider.js;4;0;0;1;http://lukelex.github.io/TemporizedSlider.js
disTime.js;6;1;1;1.1;https://github.com/SimonWaldherr/disTime.js
